timestamp,kind,model,tag,prompt_tokens,completion_tokens,total_tokens
1758048405,chat,llama-test,dry,3,7,10
1758049605,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,connectivity_test,28,7,35
1758049679,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,connectivity_test,28,7,35
1758049760,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1195,376,1571
1758051864,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1159,246,1405
1758052845,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1194,296,1490
1758052856,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1375,412,1787
1758052865,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1279,265,1544
1758123141,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1406,510,1916
1758123145,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1241,457,1698
1758123148,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1356,363,1719
1758124779,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1434,382,1816
1758124783,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1412,419,1831
1758124787,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1392,289,1681
1758125010,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1392,433,1825
1758125288,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1212,500,1712
1758125889,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1401,367,1768
1758127106,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1196,417,1613
1758127804,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1247,279,1526
1758138467,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1197,434,1631
1758138474,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1379,640,2019
1758138477,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1309,325,1634
1758188126,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1320,219,1539
1758188136,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1336,281,1617
1758188145,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1078,200,1278
1758188157,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1358,284,1642
1758188170,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,906,291,1197
1758188941,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1348,180,1528
1758188952,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1342,266,1608
1758188961,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1072,255,1327
1758188972,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1371,350,1721
1758188983,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,915,297,1212
1758188993,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1165,357,1522
1758189002,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1141,213,1354
1758189011,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1146,171,1317
1758189022,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1148,304,1452
1758189034,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1122,277,1399
1758189238,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1358,230,1588
1758189249,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1326,230,1556
1758189258,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1319,247,1566
1758189270,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1341,230,1571
1758189281,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1329,293,1622
1758189289,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1342,158,1500
1758189301,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1334,204,1538
1758189313,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1344,237,1581
1758189323,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1334,220,1554
1758189356,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1336,249,1585
1758189492,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1361,252,1613
1758189501,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1320,194,1514
1758189511,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1313,242,1555
1758189524,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1318,294,1612
1758189535,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1318,295,1613
1758189547,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1318,222,1540
1758189558,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1319,272,1591
1758189573,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1325,302,1627
1758189585,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1322,190,1512
1758189596,chat,Llama-4-Maverick-17B-128E-Instruct-FP8,answer_simulation,1337,262,1599
