timestamp,kind,model,tag,prompt_tokens,completion_tokens,total_tokens
1758043570,other,unit-test,dry-run,1,2,3
1758047108,chat,team12-gpt4o,parse_job,152,74,226
1758047368,chat,team12-gpt4o,parse_job,152,74,226
1758047370,embedding,team12-embedding,retrieve_job,41,0,41
1758048055,chat,team12-gpt4o,parse_job,152,74,226
1758048057,embedding,team12-embedding,retrieve_job,41,0,41
1758048062,chat,team12-gpt4o,questionnaire,1072,217,1289
1758048495,chat,team12-gpt4o,parse_job,152,74,226
1758048496,embedding,team12-embedding,retrieve_job,41,0,41
1758048500,chat,team12-gpt4o,questionnaire,1072,155,1227
1758048609,chat,team12-gpt4o,parse_job,152,74,226
1758048610,embedding,team12-embedding,retrieve_job,41,0,41
1758048614,chat,team12-gpt4o,questionnaire,1072,160,1232
1758048662,chat,team12-gpt4o,parse_job,152,74,226
1758048663,embedding,team12-embedding,retrieve_job,41,0,41
1758048668,chat,team12-gpt4o,questionnaire,1072,156,1228
1758049749,chat,team12-gpt4o,parse_job,152,70,222
1758049751,embedding,team12-embedding,retrieve_job,37,0,37
1758049755,chat,team12-gpt4o,questionnaire,1068,162,1230
1758051856,chat,team12-gpt4o,parse_job,152,74,226
1758051857,embedding,team12-embedding,retrieve_job,41,0,41
1758051861,chat,team12-gpt4o,questionnaire,1072,155,1227
1758051868,chat,team12-gpt4o,scoring,1527,135,1662
1758052837,chat,team12-gpt4o,parse_job,280,131,411
1758052838,embedding,team12-embedding,retrieve_job,70,0,70
1758052842,chat,team12-gpt4o,questionnaire,1114,155,1269
1758052849,chat,team12-gpt4o,scoring,1621,158,1779
1758052852,chat,team12-gpt4o,questionnaire,1275,180,1455
1758052859,chat,team12-gpt4o,scoring,1911,185,2096
1758052863,chat,team12-gpt4o,questionnaire,1197,161,1358
1758052869,chat,team12-gpt4o,scoring,1669,158,1827
1758121106,chat,team12-gpt4o,parse_job,288,157,445
1758121238,chat,team12-gpt4o,parse_job,288,136,424
1758122141,chat,team12-gpt4o,parse_job,288,168,456
1758122145,embedding,team12-embedding,retrieve_job,76,0,76
1758122825,chat,team12-gpt4o,parse_job,288,162,450
1758122828,embedding,team12-embedding,retrieve_job,76,0,76
1758122868,chat,team12-gpt4o,questionnaire,1303,186,1489
1758122871,chat,team12-gpt4o,questionnaire,1142,194,1336
1758122875,chat,team12-gpt4o,questionnaire,1279,169,1448
1758123035,chat,team12-gpt4o,parse_job,288,134,422
1758123038,embedding,team12-embedding,retrieve_job,69,0,69
1758123085,chat,team12-gpt4o,questionnaire,1281,166,1447
1758123088,chat,team12-gpt4o,questionnaire,1120,159,1279
1758123091,chat,team12-gpt4o,questionnaire,1238,159,1397
1758123218,chat,team12-gpt4o,scoring,2054,135,2189
1758123221,chat,team12-gpt4o,scoring,1845,167,2012
1758123225,chat,team12-gpt4o,scoring,1856,148,2004
1758123496,chat,team12-gpt4o,parse_job,288,134,422
1758123500,embedding,team12-embedding,retrieve_job,81,0,81
1758123542,chat,team12-gpt4o,questionnaire,1083,161,1244
1758123547,chat,team12-gpt4o,questionnaire,1244,157,1401
1758123551,chat,team12-gpt4o,questionnaire,1166,157,1323
1758124695,chat,team12-gpt4o,parse_job,288,156,444
1758124698,embedding,team12-embedding,retrieve_job,76,0,76
1758124752,chat,team12-gpt4o,questionnaire,1298,195,1493
1758124755,chat,team12-gpt4o,questionnaire,1137,172,1309
1758124757,chat,team12-gpt4o,questionnaire,1274,153,1427
1758124817,chat,team12-gpt4o,scoring,1948,181,2129
1758124820,chat,team12-gpt4o,scoring,1965,166,2131
1758124823,chat,team12-gpt4o,scoring,1817,165,1982
1758124983,chat,team12-gpt4o,parse_job,288,136,424
1758124985,embedding,team12-embedding,retrieve_job,76,0,76
1758125002,chat,team12-gpt4o,questionnaire,1244,188,1432
1758125021,chat,team12-gpt4o,scoring,1961,166,2127
1758125235,chat,team12-gpt4o,parse_job,288,131,419
1758125241,embedding,team12-embedding,retrieve_job,70,0,70
1758125263,chat,team12-gpt4o,questionnaire,1074,176,1250
1758125312,chat,team12-gpt4o,scoring,1853,174,2027
1758125861,chat,team12-gpt4o,parse_job,288,168,456
1758125864,embedding,team12-embedding,retrieve_job,76,0,76
1758125881,chat,team12-gpt4o,questionnaire,1269,163,1432
1758125901,chat,team12-gpt4o,scoring,1906,144,2050
1758126520,chat,team12-gpt4o,parse_job,288,168,456
1758126523,embedding,team12-embedding,retrieve_job,76,0,76
1758127061,chat,team12-gpt4o,parse_job,288,121,409
1758127064,embedding,team12-embedding,retrieve_job,61,0,61
1758127101,chat,team12-gpt4o,questionnaire,1064,169,1233
1758127109,chat,team12-gpt4o,scoring,1764,167,1931
1758127694,chat,team12-gpt4o,parse_job,288,163,451
1758127697,embedding,team12-embedding,retrieve_job,81,0,81
1758127733,chat,team12-gpt4o,questionnaire,1106,189,1295
1758127810,chat,team12-gpt4o,scoring,1670,162,1832
1758137863,chat,team12-gpt4o,parse_job,288,134,422
1758137866,embedding,team12-embedding,retrieve_job,81,0,81
1758137936,chat,team12-gpt4o,questionnaire,1083,180,1263
1758137939,chat,team12-gpt4o,questionnaire,1244,167,1411
1758137942,chat,team12-gpt4o,questionnaire,1166,152,1318
1758137946,chat,team12-gpt4o,questionnaire,1201,174,1375
1758137949,chat,team12-gpt4o,questionnaire,1220,166,1386
1758137953,chat,team12-gpt4o,questionnaire,1205,177,1382
1758138366,chat,team12-gpt4o,parse_job,288,135,423
1758138369,embedding,team12-embedding,retrieve_job,81,0,81
1758138409,chat,team12-gpt4o,questionnaire,1084,157,1241
1758138411,chat,team12-gpt4o,questionnaire,1245,176,1421
1758138415,chat,team12-gpt4o,questionnaire,1167,180,1347
1758138557,chat,team12-gpt4o,scoring,1771,170,1941
1758138561,chat,team12-gpt4o,scoring,2154,172,2326
1758138565,chat,team12-gpt4o,scoring,1769,172,1941
1758185224,chat,team12-gpt4o,parse_job,280,113,393
1758185228,embedding,team12-embedding,retrieve_job,58,0,58
1758185357,chat,team12-gpt4o,questionnaire,1250,172,1422
1758185362,chat,team12-gpt4o,questionnaire,1251,170,1421
1758185366,chat,team12-gpt4o,questionnaire,1010,169,1179
1758185370,chat,team12-gpt4o,questionnaire,1276,168,1444
1758185374,chat,team12-gpt4o,questionnaire,824,192,1016
1758186013,chat,team12-gpt4o,parse_job,280,144,424
1758186016,embedding,team12-embedding,retrieve_job,70,0,70
